Adress: 4294967296, Name: _mh_execute_header
Adress: 4294974464, Name: main
Adress: 4294974544, Name: asan.module_ctor
Adress: 4294974560, Name: close_app
Adress: 4294974768, Name: error_close_app
Adress: 4294974864, Name: check_leaky_errors
Adress: 4294975136, Name: asan.module_ctor
Adress: 4294975168, Name: asan.module_dtor
Adress: 4294975184, Name: main_loop
Adress: 4294977776, Name: asan.module_ctor
Adress: 4294977792, Name: ft_ferror
Adress: 4294978000, Name: ft_error_msg
Adress: 4294978080, Name: error_code_msg
Adress: 4294978192, Name: ft_free_2d
Adress: 4294978448, Name: asan.module_ctor
Adress: 4294978480, Name: asan.module_dtor
Adress: 4294978496, Name: init_app
Adress: 4294978800, Name: init_start_time
Adress: 4294979440, Name: init_hooks
Adress: 4294980256, Name: asan.module_ctor
Adress: 4294980288, Name: asan.module_dtor
Adress: 4294980304, Name: init_gc
Adress: 4294980384, Name: gc_callback
Adress: 4294980464, Name: asan.module_ctor
Adress: 4294980480, Name: get_app
Adress: 4294980496, Name: get_frame
Adress: 4294980528, Name: get_map_infos
Adress: 4294980576, Name: get_player
Adress: 4294980624, Name: get_mlx
Adress: 4294980704, Name: asan.module_ctor
Adress: 4294980736, Name: asan.module_dtor
Adress: 4294980752, Name: get_ui
Adress: 4294980800, Name: get_settings
Adress: 4294980848, Name: asan.module_ctor
Adress: 4294980864, Name: init_window
Adress: 4294981792, Name: destroy_window
Adress: 4294982176, Name: asan.module_ctor
Adress: 4294982192, Name: print_cub_err
Adress: 4294982576, Name: asan.module_ctor
Adress: 4294982608, Name: asan.module_dtor
Adress: 4294982624, Name: update_player_vectors
Adress: 4294983792, Name: update_player_forward_vec
Adress: 4294984160, Name: update_player_right_vec
Adress: 4294984528, Name: update_player_cell_pos
Adress: 4294984672, Name: update_player_map_vec
Adress: 4294985376, Name: asan.module_ctor
Adress: 4294985392, Name: update_player
Adress: 4294986944, Name: asan.module_ctor
Adress: 4294986960, Name: fps_counter
Adress: 4294987952, Name: get_sec_time
Adress: 4294988400, Name: asan.module_ctor
Adress: 4294988432, Name: asan.module_dtor
Adress: 4294988448, Name: put_text
Adress: 4294989312, Name: str_px_size
Adress: 4294989408, Name: switch_debug_ui
Adress: 4294989776, Name: print_float
Adress: 4294990512, Name: print_ivec
Adress: 4294991552, Name: print_int
Adress: 4294992304, Name: print_vec
Adress: 4294993408, Name: asan.module_ctor
Adress: 4294993440, Name: asan.module_dtor
Adress: 4294993456, Name: render_ui
Adress: 4294993952, Name: update_ui
Adress: 4294994240, Name: update_ui_click_begin
Adress: 4294994544, Name: update_ui_click_end
Adress: 4294994848, Name: asan.module_ctor
Adress: 4294994864, Name: render_mmap
Adress: 4294997440, Name: draw_cells
Adress: 4294998992, Name: outside_mmap_bounds
Adress: 4294999072, Name: render_mmap_wall
Adress: 4294999328, Name: render_mmap_empty
Adress: 4294999584, Name: asan.module_ctor
Adress: 4294999600, Name: init_ui
Adress: 4294999760, Name: asan.module_ctor
Adress: 4294999776, Name: print_debug
Adress: 4294999840, Name: debug_player
Adress: 4295009184, Name: asan.module_ctor
Adress: 4295009216, Name: asan.module_dtor
Adress: 4295009232, Name: draw_rect
Adress: 4295010304, Name: draw_circle
Adress: 4295011184, Name: draw_line
Adress: 4295013616, Name: draw_line_lerp
Adress: 4295016112, Name: asan.module_ctor
Adress: 4295016128, Name: draw_rect_tex
Adress: 4295017216, Name: draw_circle_tex
Adress: 4295018112, Name: draw_line_tex
Adress: 4295020560, Name: draw_line_lerp_tex
Adress: 4295023376, Name: asan.module_ctor
Adress: 4295023392, Name: draw_rect_unsafe
Adress: 4295025136, Name: draw_circle_unsafe
Adress: 4295026320, Name: draw_line_unsafe
Adress: 4295028752, Name: draw_line_lerp_unsafe
Adress: 4295031248, Name: asan.module_ctor
Adress: 4295031264, Name: draw_rect_tex_unsafe
Adress: 4295034000, Name: draw_circle_tex_unsafe
Adress: 4295035232, Name: draw_line_tex_unsafe
Adress: 4295037680, Name: draw_line_lerp_tex_unsafe
Adress: 4295040496, Name: asan.module_ctor
Adress: 4295040512, Name: trgb
Adress: 4295040560, Name: get_t
Adress: 4295040592, Name: get_r
Adress: 4295040624, Name: get_g
Adress: 4295040656, Name: get_b
Adress: 4295040688, Name: asan.module_ctor
Adress: 4295040704, Name: color_lerp
Adress: 4295041920, Name: asan.module_ctor
Adress: 4295041936, Name: clear_screen
Adress: 4295042784, Name: set_screen_pixel
Adress: 4295043184, Name: pixel_in_screen
Adress: 4295043280, Name: set_screen_pixel_unsafe
Adress: 4295043616, Name: asan.module_ctor
Adress: 4295043632, Name: clear_texture
Adress: 4295044176, Name: set_texture_pixel
Adress: 4295044960, Name: pixel_in_texture
Adress: 4295045152, Name: set_texture_pixel_unsafe
Adress: 4295045648, Name: asan.module_ctor
Adress: 4295045664, Name: render_ui_texture
Adress: 4295046096, Name: render_invalid_texture
Adress: 4295047168, Name: render_ui_texture_grayscale
Adress: 4295047600, Name: render_ui_texture_inverse_grayscale
Adress: 4295048032, Name: render_ui_texture_inversed
Adress: 4295048464, Name: asan.module_ctor
Adress: 4295048480, Name: mlx_render_text
Adress: 4295049280, Name: asan.module_ctor
Adress: 4295049296, Name: render_walls
Adress: 4295051344, Name: draw_col_wall
Adress: 4295053136, Name: asan.module_ctor
Adress: 4295053152, Name: render_test_scene
Adress: 4295055632, Name: print_player_vector
Adress: 4295063312, Name: debug_rays
Adress: 4295065088, Name: print_ray
Adress: 4295067024, Name: rotate_vector
Adress: 4295068192, Name: asan.module_ctor
Adress: 4295068208, Name: shoot_ray
Adress: 4295072512, Name: get_map_type
Adress: 4295072976, Name: populate_ray
Adress: 4295074832, Name: calculate_lengths
Adress: 4295075824, Name: calculate_step_dists
Adress: 4295078000, Name: asan.module_ctor
Adress: 4295078016, Name: load_xpm
Adress: 4295078912, Name: asan.module_ctor
Adress: 4295078928, Name: create_texture_from_xpm_file
Adress: 4295079408, Name: transfer_texture_data
Adress: 4295080832, Name: create_texture_variations
Adress: 4295085344, Name: create_blank_texture
Adress: 4295086368, Name: finish_new_texture
Adress: 4295086544, Name: asan.module_ctor
Adress: 4295086560, Name: shade_ao_texture_flat
Adress: 4295086976, Name: shade_pixel
Adress: 4295087456, Name: shade_ao_texture_right
Adress: 4295087760, Name: shade_ao_texture_left
Adress: 4295088032, Name: shade_ao_texture_all
Adress: 4295088192, Name: asan.module_ctor
Adress: 4295088208, Name: free_texture
Adress: 4295089232, Name: asan.module_ctor
Adress: 4295089248, Name: load_texture
Adress: 4295090160, Name: new_texture
Adress: 4295090896, Name: get_texture_from_id
Adress: 4295091184, Name: unload_texture_manager
Adress: 4295091504, Name: asan.module_ctor
Adress: 4295091520, Name: add_texture_to_array
Adress: 4295092384, Name: grow_texture_array
Adress: 4295092816, Name: asan.module_ctor
Adress: 4295092832, Name: get_texture_size
Adress: 4295093840, Name: asan.module_ctor
Adress: 4295093856, Name: create_texture_grayscale
Adress: 4295095104, Name: create_texture_inverse_grayscale
Adress: 4295096384, Name: asan.module_ctor
Adress: 4295096400, Name: create_texture_inversed
Adress: 4295097664, Name: asan.module_ctor
Adress: 4295097680, Name: save_game
Adress: 4295097840, Name: open_save_file
Adress: 4295098064, Name: load_game
Adress: 4295099168, Name: free_save
Adress: 4295099440, Name: create_appdata_directory
Adress: 4295100000, Name: asan.module_ctor
Adress: 4295100032, Name: asan.module_dtor
Adress: 4295100048, Name: load_all_saves
Adress: 4295100432, Name: add_to_saves
Adress: 4295101328, Name: reload_saves
Adress: 4295101392, Name: unload_saves
Adress: 4295101712, Name: grow_saves_array
Adress: 4295102240, Name: asan.module_ctor
Adress: 4295102272, Name: asan.module_dtor
Adress: 4295102288, Name: load_map
Adress: 4295103392, Name: open_map_file
Adress: 4295103568, Name: create_maps_directory
Adress: 4295104128, Name: asan.module_ctor
Adress: 4295104160, Name: asan.module_dtor
Adress: 4295104176, Name: load_all_maps
Adress: 4295104560, Name: add_to_maps
Adress: 4295105456, Name: reload_maps
Adress: 4295105520, Name: unload_maps
Adress: 4295105840, Name: grow_maps_array
Adress: 4295106368, Name: asan.module_ctor
Adress: 4295106400, Name: asan.module_dtor
Adress: 4295106416, Name: deserialize_save
Adress: 4295106640, Name: deserialize_cub_save
Adress: 4295107744, Name: parse_line
Adress: 4295108016, Name: asan.module_ctor
Adress: 4295108048, Name: asan.module_dtor
Adress: 4295108064, Name: load_mandatory_map
Adress: 4295108672, Name: parse_line
Adress: 4295110416, Name: setup_player
Adress: 4295111232, Name: asan.module_ctor
Adress: 4295111264, Name: asan.module_dtor
Adress: 4295111280, Name: parse_color
Adress: 4295112784, Name: parse_texture
Adress: 4295113184, Name: add_map_row
Adress: 4295113856, Name: contains_illegal_char
Adress: 4295114896, Name: is_illegal_char
Adress: 4295115488, Name: asan.module_ctor
Adress: 4295115504, Name: deserialize_map
Adress: 4295115808, Name: parse_line
Adress: 4295116688, Name: asan.module_ctor
Adress: 4295116720, Name: asan.module_dtor
Adress: 4295116736, Name: deserialize_map_parse_map_content
Adress: 4295117296, Name: contains_illegal_char
Adress: 4295118368, Name: is_illegal_char
Adress: 4295119056, Name: asan.module_ctor
Adress: 4295119072, Name: deserialize_map_parse_width
Adress: 4295119408, Name: deserialize_map_parse_height
Adress: 4295119760, Name: deserialize_map_parse_spawn
Adress: 4295120944, Name: deserialize_map_parse_ceiling
Adress: 4295122128, Name: deserialize_map_parse_floor
Adress: 4295123312, Name: asan.module_ctor
Adress: 4295123328, Name: deserialize_map_parse_no_tex
Adress: 4295123728, Name: deserialize_map_parse_ea_tex
Adress: 4295124128, Name: deserialize_map_parse_so_tex
Adress: 4295124528, Name: deserialize_map_parse_we_tex
Adress: 4295124928, Name: asan.module_ctor
Adress: 4295124960, Name: asan.module_dtor
